FID,r__2004
0,652.258728
1,456.5680542
2,452.1010742
3,421.4613647
4,416.786377
5,622.4248047
6,752.7385254
7,391.8021851
8,623.8937378
9,491.7177124
10,388.3945923
11,441.1784363
12,394.2944336
13,286.9484558
14,362.1877747
15,512.2675781
16,313.1549377
17,359.735321
18,459.0517883
19,312.1758423
20,274.5739746
21,305.3161011
22,300.0466614
23,636.7533569
24,375.5785217
25,288.2038269
26,361.2201538
27,352.6560059
28,257.6724243
29,253.3256836
30,338.3692627
31,305.2417297
32,248.8710938
33,249.5911102
34,227.6873016
35,299.8362427
36,486.6343384
37,391.8963013
38,312.8283997
39,277.3084106
40,271.8737793
41,262.9565735
42,248.665451
43,223.2060394
44,228.9313965
45,260.6923523
46,270.2476807
47,244.4088593
48,247.1994019
49,213.2600861
50,287.0393677
51,521.0175171
52,746.503479
53,615.4832764
54,468.2122498
55,466.0950317
56,363.0396118
57,282.6789551
58,255.2658997
59,264.4979553
60,232.1260834
61,195.6668701
62,210.4797821
63,237.1267548
64,247.2236633
65,305.4581909
66,243.5857697
67,244.0425415
68,220.4103241
69,311.3702087
70,297.7589111
71,292.6931763
72,309.188385
73,390.23349
74,407.0823975
75,344.7125854
76,502.4357605
77,531.3292236
78,422.2801208
79,323.2693176
80,280.8413391
81,290.850708
82,283.4910889
83,270.5148621
84,236.640213
85,191.9575958
86,199.124115
87,225.1280365
88,230.7453766
89,252.5269775
90,261.4129028
91,236.9716644
92,239.7973785
93,195.0802612
94,270.6659851
95,482.3433533
96,386.8090515
97,339.8753052
98,352.9036255
99,379.8853149
100,306.6005859
101,312.582428
102,332.9478149
103,374.2992554
104,370.7030945
105,327.0499573
106,250.2228241
107,282.4114685
108,279.9291992
109,281.3995056
110,246.2487183
111,195.5962524
112,209.9880219
113,211.6893921
114,203.9764709
115,227.4990845
116,236.6199799
117,251.3466187
118,230.2106323
119,220.8253632
120,290.1010132
121,206.3034058
122,178.962265
123,131.7517395
124,122.9692917
125,481.5348206
126,361.1266785
127,337.4430237
128,318.7835083
129,391.8901367
130,396.7673035
131,318.8529968
132,320.4050598
133,329.1834412
134,361.3100891
135,484.0776062
136,488.4058533
137,401.6900024
138,276.9211121
139,354.1850891
140,401.4275818
141,305.3005981
142,254.5341339
143,213.1000671
144,203.2791748
145,209.4936981
146,233.124527
147,227.0134888
148,226.3115387
149,231.853653
150,241.0974884
151,239.346405
152,338.9411926
153,341.1470032
154,337.9916382
155,288.4854431
156,244.6747742
157,485.1776733
158,389.3728027
159,328.8152771
160,315.3534851
161,328.0582886
162,377.3226624
163,382.4909973
164,463.8861389
165,377.8783264
166,368.0342712
167,442.6508179
168,689.6297607
169,854.0753174
170,475.2248535
171,281.2612
172,303.6249695
173,395.9543762
174,309.9249573
175,236.4496918
176,204.7975311
177,211.9628601
178,215.8202362
179,296.3188171
180,270.1282654
181,216.9142151
182,275.0283203
183,265.8934326
184,364.2192993
185,388.1461792
186,364.2865906
187,468.7813721
188,393.2929688
189,271.7540283
190,300.0936584
191,493.9892578
192,402.2770691
193,346.5522156
194,317.8212891
195,311.1296387
196,321.4966125
197,345.095459
198,358.3666992
199,458.0202637
200,401.8587341
201,378.6786804
202,399.3431091
203,610.3634033
204,714.5350952
205,414.8844299
206,284.505188
207,270.7030334
208,261.4646301
209,262.9371643
210,217.4843445
211,192.6706238
212,214.475647
213,229.6493683
214,246.808548
215,239.3334656
216,207.8839111
217,300.561554
218,339.0858459
219,367.8574219
220,356.4623718
221,342.4483948
222,365.1485291
223,343.3720703
224,338.4776001
225,349.1694641
226,289.5246582
227,287.0458679
228,313.2132874
229,327.4347534
230,332.8311462
231,304.2244568
232,324.3833618
233,349.3278198
234,373.6207886
235,435.1869202
236,555.4176636
237,691.2382202
238,480.5732727
239,318.2873535
240,324.311615
241,279.7257996
242,282.9451904
243,239.4903259
244,222.5400848
245,207.9250336
246,207.3289337
247,221.1177368
248,210.2881927
249,205.4930725
250,231.2032623
251,225.973526
252,217.9964752
253,311.3058472
254,326.9833374
255,367.6197205
256,335.6254883
257,358.4116211
258,353.2904968
259,365.3783569
260,352.7536316
261,265.010437
262,263.4399414
263,316.5233154
264,348.6073914
265,333.3646545
266,318.6452637
267,368.9039612
268,468.4240417
269,580.8180542
270,759.5582886
271,982.6943359
272,948.7446899
273,517.7766113
274,430.2332458
275,376.3336487
276,257.5611572
277,281.0691833
278,284.9380188
279,249.8357239
280,233.7909241
281,240.4524078
282,219.7577515
283,214.6922607
284,191.9343414
285,200.2351837
286,202.1132507
287,224.0166168
288,299.2991943
289,303.9913025
290,325.8598022
291,315.5784302
292,334.5649719
293,335.7253113
294,346.6112366
295,351.8796997
296,413.2233887
297,360.0093994
298,416.0402527
299,346.5283508
300,340.9585266
301,379.2379761
302,458.5788574
303,1079.912231
304,1375.682373
305,1540.087646
306,1355.788696
307,620.1484985
308,638.9719849
309,621.7338257
310,372.3106384
311,298.4536133
312,313.1238403
313,395.6638794
314,358.9342346
315,277.4416199
316,228.2208862
317,211.629303
318,225.987854
319,193.7365417
320,186.6776581
321,182.8012085
322,243.1780548
323,285.8429565
324,275.1973572
325,308.7736511
326,304.8170166
327,304.2661743
328,319.7521362
329,334.863739
330,323.9704895
331,444.5477905
332,324.2329407
333,321.2427063
334,266.1444397
335,315.7991028
336,391.059967
337,476.1446838
338,1286.930298
339,2507.570557
340,1501.602539
341,846.4591675
342,1041.082886
343,1310.925903
344,929.8197021
345,439.6273804
346,524.6868286
347,528.8967896
348,533.373291
349,614.234436
350,374.6348572
351,255.0561371
352,238.9691925
353,236.5733948
354,202.4505615
355,193.0336151
356,183.8379517
357,198.7441101
358,207.6587677
359,293.5641785
360,298.7088318
361,276.7568665
362,277.3317566
363,284.4440002
364,288.9687805
365,293.2741699
366,306.8967896
367,423.0887146
368,249.2069855
369,253.218338
370,246.8674316
371,381.3070374
372,523.8521729
373,1549.519043
374,2753.247559
375,1014.048584
376,1338.355225
377,1847.396851
378,1900.670288
379,1852.466309
380,1033.612915
381,886.6994629
382,910.8192139
383,776.9545288
384,492.1983337
385,401.4271851
386,313.4965515
387,286.6984558
388,267.9741516
389,216.2391815
390,195.821579
391,189.8734436
392,191.1425171
393,195.8934479
394,303.0936584
395,313.489502
396,304.0135193
397,265.3022156
398,274.328186
399,284.8912354
400,283.5208435
401,288.9751892
402,483.1347656
403,297.9404297
404,263.0718994
405,292.1560669
406,330.3266602
407,578.7540283
408,1775.618164
409,4244.798828
410,1705.991211
411,2107.30957
412,2788.514648
413,2302.955811
414,1913.99646
415,1987.354858
416,1952.290649
417,1930.840454
418,1079.626465
419,1369.154907
420,1342.075195
421,786.963623
422,424.1931763
423,359.3118286
424,228.9997559
425,208.9134521
426,194.7135315
427,194.8826141
428,198.0043182
429,261.9515076
430,392.0862732
431,338.7925415
432,287.1687317
433,268.5013123
434,268.9327393
435,275.8653564
436,289.7617188
437,231.5560303
438,469.3581238
439,393.6602478
440,270.2192993
441,298.0687256
442,356.8205566
443,625.0905762
444,2111.662842
445,6141.630371
446,3608.479004
447,5629.608398
448,6251.67627
449,4351.214844
450,2809.669922
451,2964.702393
452,2945.799316
453,2958.218506
454,2090.621582
455,2263.115967
456,2682.611328
457,1233.764893
458,637.0244141
459,483.5830688
460,288.6896362
461,241.3798981
462,203.8548889
463,201.2887726
464,203.8147736
465,217.9280701
466,421.1891174
467,375.0714111
468,289.7879028
469,268.2981873
470,259.2035828
471,274.2611084
472,277.1358032
473,230.5765839
474,438.1886292
475,492.6028137
476,365.460907
477,428.7976685
478,568.338501
479,1315.75
480,3738.631104
481,8669.72168
482,13174.20313
483,13231.26758
484,8525.232422
485,6056.174805
486,4841.83252
487,3489.615479
488,3236.698242
489,2966.628662
490,2819.41333
491,3399.71875
492,2625.005859
493,1251.784058
494,830.4122314
495,485.3629761
496,489.1237793
497,324.3898315
498,203.8490143
499,204.8968811
500,221.2288513
501,218.1856384
502,231.7264099
503,307.177002
504,306.9444275
505,346.002594
506,300.2062073
507,347.8719482
508,363.4948425
509,244.5475159
510,580.776001
511,409.7268982
512,648.5259399
513,994.416626
514,1634.956909
515,2231.607422
516,9523.475586
517,18908.26172
518,7527.162109
519,6754.931641
520,5376.270508
521,4507.193359
522,3651.101563
523,3093.49292
524,3382.39624
525,3772.540039
526,4494.206543
527,2849.269531
528,1219.234131
529,818.7004395
530,673.008728
531,712.2578735
532,405.8892822
533,237.7965851
534,286.4902344
535,230.2939758
536,216.1586151
537,204.2994385
538,302.3479309
539,559.3358765
540,632.9937744
541,380.6687012
542,412.5172119
543,337.6278687
544,674.0551758
545,524.4752197
546,510.7061768
547,687.7854004
548,780.2996216
549,1207.789917
550,6740.421875
551,16151.20117
552,6680.711426
553,3886.962402
554,5724.330566
555,3699.928711
556,4075.104492
557,3876.307617
558,4440.76123
559,4838.836914
560,3946.292969
561,2700.6604
562,1599.280884
563,1260.568359
564,979.6520996
565,849.6779175
566,391.5405579
567,275.3085632
568,334.1721802
569,247.8903198
570,256.6416321
571,346.3175354
572,568.8812256
573,662.1329346
574,578.4500122
575,347.282074
576,328.655304
577,309.5907593
578,589.1558838
579,427.6991272
580,541.0300903
581,362.6455383
582,1020.614258
583,6134.152344
584,15724.39844
585,6411.187012
586,4196.904297
587,5474.999023
588,5017.235352
589,4294.850586
590,5192.884277
591,4812.692383
592,3697.155029
593,2908.552002
594,3252.835449
595,2481.01001
596,2009.447754
597,1350.105591
598,1153.88501
599,768.062439
600,382.6800232
601,271.9229431
602,263.046875
603,332.1182251
604,505.62323
605,864.1436157
606,707.1480713
607,848.1929321
608,408.5346069
609,226.922699
610,274.6381531
611,539.7730713
612,2608.09082
613,9976.545898
614,11383.875
615,4644.382813
616,5470.327148
617,5624.52002
618,4098.709473
619,5892.038086
620,5912.496094
621,3597.030518
622,2959.60791
623,2608.869385
624,2220.31543
625,1641.577393
626,1735.461426
627,2139.187988
628,1951.316895
629,1373.884644
630,635.6623535
631,346.3118286
632,369.9682007
633,732.1526489
634,1127.504883
635,1209.719604
636,791.3754883
637,579.8324585
638,320.0239258
639,250.4298859
640,328.5654907
641,842.1847534
642,3064.343506
643,5869.863281
644,4673.694336
645,3975.02832
646,4345.699219
647,5424.786621
648,3438.439453
649,3592.74585
650,4035.348633
651,3324.54248
652,2541.148193
653,1869.04895
654,2107.513916
655,1215.140625
656,1347.417236
657,1495.165771
658,1576.98645
659,1169.320923
660,914.5986328
661,468.6224976
662,426.6345215
663,805.7637939
664,1542.563232
665,1582.793701
666,682.7877197
667,411.2012329
668,276.1581421
669,304.1299438
670,304.7542725
671,699.4125366
672,1977.770996
673,3357.320313
674,3447.276367
675,2631.715088
676,2739.764893
677,2448.931641
678,2219.76001
679,2609.816162
680,2832.326416
681,2356.621582
682,1691.228271
683,1452.315796
684,1226.984985
685,948.5679321
686,741.2516479
687,703.8788452
688,843.3760376
689,857.8189087
690,898.2771606
691,791.0432129
692,604.9273071
693,677.3401489
694,1021.201355
695,1094.210205
696,507.5919495
697,469.3170776
698,311.3773499
699,225.6659241
700,171.2244415
701,288.1481018
702,1117.702271
703,2017.508545
704,2583.318848
705,1603.242188
706,1177.993164
707,1100.75769
708,1407.433228
709,1718.500854
710,1648.812378
711,1464.498291
712,1210.158936
713,810.4782104
714,749.4078369
715,772.2179565
716,465.9544678
717,301.0729675
718,297.0074158
719,483.8581543
720,755.8687134
721,830.456665
722,563.9562378
723,452.8136902
724,619.0444336
725,728.0042114
726,421.9907532
727,470.6681519
728,302.9963379
729,196.0700226
730,256.5783997
731,615.0559082
732,844.3696289
733,642.932373
734,627.755188
735,589.6097412
736,471.4485474
737,874.170105
738,875.0788574
739,829.3054199
740,746.0285034
741,651.5543213
742,509.6331177
743,365.8811951
744,467.1353149
745,335.9245605
746,289.2578125
747,244.7061615
748,405.4155273
749,628.5126343
750,623.3917847
751,408.5163879
752,334.6868896
753,356.2042236
754,470.3027344
755,510.0325928
756,446.7189941
757,261.2774353
758,406.6190796
759,455.5500793
760,333.8901672
761,275.9577637
762,261.2472534
763,336.7657166
764,326.1635437
765,426.9351196
766,542.9517212
767,605.1524658
768,537.9622803
769,415.8133545
770,272.1609192
771,232.3844604
772,248.0505219
773,255.0935211
774,231.2275696
775,251.561264
776,305.815918
777,344.3473816
778,382.6651611
779,284.3491211
780,278.4628601
781,278.1658325
782,291.4432068
783,400.7926331
784,301.168335
785,302.9127502
786,490.5877991
787,309.2662964
788,248.0490417
789,185.8814697
790,197.2601929
791,192.8162537
792,233.2203217
793,240.6737213
794,299.1610107
795,476.3538513
796,344.959259
797,240.7630768
798,186.0842896
799,177.7558746
800,198.9389954
801,206.8832245
802,246.7006836
803,301.7788391
804,413.2479858
805,303.7747192
806,301.0326843
807,254.9927979
808,273.0776978
809,258.5773621
810,239.6374512
811,314.363678
812,320.7692566
813,254.8726044
814,309.4117737
815,330.1322937
816,207.4673157
817,184.8687592
818,170.970871
819,184.3243103
820,161.9456024
821,178.394043
822,197.4898529
823,274.3535156
824,429.9456787
825,268.3240662
826,317.4856567
827,219.7870941
828,184.7213898
829,211.7711182
830,293.8881226
831,346.894989
832,356.7328186
833,418.5986023
834,301.4951782
835,225.5109253
836,224.7599792
837,284.7228394
838,257.1612854
839,232.2033691
840,405.8900757
841,307.637085
842,217.5613708
843,177.6904144
844,170.3302765
845,190.3237152
846,181.6386261
847,166.8565216
848,161.5582581
849,163.0699615
850,177.7607727
851,158.3405304
852,217.7789459
853,264.7119446
854,295.5136414
855,204.7843018
856,244.2904663
857,248.8538818
858,311.6069946
859,313.8765869
860,303.4804993
861,240.4846191
862,234.2822723
863,342.462738
864,412.192688
865,295.5709534
866,217.2354584
867,239.2478027
868,234.8351898
869,223.0433655
870,386.4534607
871,204.0216522
872,172.0978241
873,179.2563171
874,161.9798126
875,169.1861572
876,158.6274109
877,148.4834442
878,155.3145905
879,208.0650177
880,285.163269
881,268.967865
882,445.209137
883,347.1895752
884,195.3660736
885,194.3045807
886,257.1417542
887,312.4822083
888,327.0921936
889,347.1326599
890,329.6068115
891,234.7391815
892,248.6831512
893,223.8442993
894,208.7018738
895,407.0601196
896,224.9337616
897,160.1773376
898,165.0985718
899,164.4790344
900,174.8231049
901,206.5319824
902,194.1674652
903,222.9700928
904,247.5189362
905,368.3308716
906,390.3293152
907,501.5903625
908,363.8172913
909,182.3506775
910,274.3325195
911,346.7810059
912,242.0471497
913,434.2087402
914,381.6768188
915,314.8018188
916,229.5524292
917,239.2325439
918,429.4435425
919,410.9516907
920,284.0789185
921,248.7870789
922,283.5740967
923,354.6108704
924,349.2878113
925,209.6117096
926,273.759491
927,277.8445129
928,275.2395325
929,324.4159851
930,318.5226746
931,352.0655212
932,200.484436
933,283.1195068
934,300.2883606
935,341.3293762
936,415.2169189
937,309.8961182
938,525.4723511
939,473.2397461
940,509.1808472
941,570.7124634
942,364.3167419
943,288.8518066
944,279.2811279
945,272.344574
946,202.3093719
947,215.5034485
948,384.9248962
949,448.9353333
950,550.4144287
951,270.580658
952,355.4255676
